index	P(0)	P(1)	P(2)	Pw	N(0)	N(1)	N(2)	Cd(0)	Cd(1)	Cd(2)	Cd(3)
987	-0.00327873	1.69033	0.118279	1	-0.299366	-0.361961	0.882816	0.442163	0.279466	0.209678	1
988	-0.00327873	1.69424	0.122639	1	-0.829962	-0.48766	0.270834	0.429584	0.266746	0.200782	1
989	-0.00327873	1.74634	0.119205	1	0.0790557	-0.358023	0.93036	0.487925	0.300797	0.217782	1
990	-0.00327873	1.76146	0.119671	1	0.123227	0.119117	0.985204	0.478494	0.331733	0.230559	1
991	-0.00336733	1.6758	0.118418	1	-0.17694	-0.563855	0.806697	0.404603	0.186217	0.145047	1
992	-0.00336733	1.69595	0.127652	1	-0.757244	-0.649868	0.0652116	0.377308	0.222276	0.162962	1
993	-0.00336733	1.70312	0.122413	1	-0.626941	-0.523424	-0.577037	0.157437	0.069381	0.0579226	1
994	-0.00336733	1.75028	0.120651	1	0.209705	-0.168474	0.963141	0.442163	0.280136	0.193189	1
995	-0.00345595	1.68172	0.119825	1	-0.024903	0.363979	0.931074	0.443806	0.260395	0.193925	1
996	-0.00354448	1.68061	0.120047	1	-0.120505	-0.0567495	0.991089	0.464315	0.299037	0.222312	1
997	-0.00354448	1.6989	0.134505	1	-0.396072	-0.666285	0.631816	0.55208	0.338603	0.238796	1
998	-0.00372172	1.6957	0.122131	1	-0.965843	-0.206459	0.156598	0.403276	0.240396	0.182322	1
999	-0.00372172	1.69901	0.123034	1	-0.990893	-0.131523	0.0288512	0.191526	0.0912242	0.0747525	1
1000	-0.00398756	1.58332	0.0518448	1	-0.0964236	-0.213217	0.972235	0.4311	0.290804	0.197924	1
1001	-0.00425341	1.68484	0.118431	1	-0.0330025	0.31083	0.949892	0.442163	0.264806	0.182352	1
1002	-0.00425341	1.68862	0.117809	1	-0.181055	-0.0164982	0.983334	0.442163	0.269539	0.188132	1
1003	-0.00425341	1.69684	0.126552	1	-0.884639	-0.460888	-0.0706872	0.249748	0.131476	0.101594	1
1004	-0.00443065	1.70057	0.118731	1	-0.903424	0.156364	0.399219	0.148298	0.0643495	0.0520517	1
1005	-0.00460779	1.693	0.119098	1	-0.706381	-0.377921	0.598499	0.442163	0.279466	0.209678	1
1006	-0.00469641	1.67465	0.111959	1	0.0531333	0.973605	-0.221968	0.281083	0.0913688	0.06983	1
1007	-0.00469641	1.69705	0.12923	1	-0.512233	-0.858301	0.0306141	0.410822	0.241362	0.173517	1
1008	-0.00469641	1.73185	0.119917	1	-0.631333	0.381465	0.675206	0.497326	0.300577	0.224049	1
1009	-0.00478502	1.70705	0.118933	1	-0.56043	-0.800283	-0.213227	0.117371	0.0477539	0.0366369	1
1010	-0.00478502	1.71199	0.130731	1	-0.679389	0.453344	0.576984	0.464499	0.260691	0.185403	1
1011	-0.00478502	1.71965	0.12677	1	-0.667656	0.330859	0.666909	0.469322	0.264225	0.1949	1
1012	-0.00478502	1.73768	0.117099	1	-0.663297	0.222687	0.714456	0.497173	0.300405	0.215121	1
1013	-0.00487364	1.59166	0.0539983	1	-0.142667	-0.320876	0.936314	0.425345	0.278238	0.196618	1
1014	-0.00487364	1.67371	0.114639	1	-0.0738314	0.70422	0.706132	0.251503	0.0894084	0.0627489	1
1015	-0.00496226	1.69448	0.118984	1	-0.838731	-0.0393667	0.543121	0.416509	0.252783	0.190583	1
1016	-0.00496226	1.69548	0.118714	1	-0.862248	0.0785249	0.500362	0.388817	0.223856	0.169569	1
1017	-0.00505087	1.70173	0.1354	1	-0.629963	-0.259499	0.731988	0.558803	0.343206	0.241904	1
1018	-0.00505087	1.72487	0.124066	1	-0.637837	0.365196	0.678082	0.492363	0.279466	0.220249	1
1019	-0.00505087	1.75541	0.120887	1	0.202968	0.12915	0.970631	0.490383	0.324562	0.229454	1
1020	-0.00513948	1.65747	0.110509	1	0.0196036	-0.106856	0.994081	0.406801	0.233741	0.146547	1
1021	-0.00513948	1.66081	0.111698	1	0.0152409	-0.527127	0.849649	0.406801	0.237463	0.148749	1
1022	-0.00513948	1.67295	0.114389	1	-0.0930434	-0.993484	0.0658258	0.251503	0.0894084	0.0627489	1
1023	-0.0052281	1.69768	0.127406	1	-0.639289	-0.65785	-0.398173	0.240665	0.124563	0.0954025	1
1024	-0.0052281	1.74143	0.116051	1	-0.587132	-0.253722	0.768701	0.474456	0.273334	0.191707	1
1025	-0.00531672	1.57289	0.0497623	1	-0.125105	-0.158657	0.979376	0.428	0.286161	0.201809	1
1026	-0.00531672	1.66901	0.116141	1	-0.112276	0.191305	0.975088	0.385248	0.20623	0.147563	1
1027	-0.00549395	1.66419	0.115685	1	-0.0796922	-0.613146	0.785939	0.456017	0.272348	0.193569	1
1028	-0.00549395	1.66549	0.116327	1	-0.0842606	-0.219164	0.972043	0.447697	0.264188	0.188355	1
1029	-0.00558257	1.69833	0.130967	1	-0.565504	-0.739224	0.365723	0.502286	0.304586	0.215808	1
1030	-0.00558257	1.7083	0.133805	1	-0.719524	0.353537	0.597743	0.514792	0.32229	0.221056	1
1031	-0.0057598	1.70447	0.134973	1	-0.697997	0.0325993	0.715358	0.536315	0.350105	0.247364	1
1032	-0.00593703	1.60194	0.0582877	1	-0.22072	-0.327583	0.91868	0.442163	0.294684	0.209678	1
1033	-0.00602565	1.65142	0.111187	1	-0.0475123	0.241359	0.969272	0.442942	0.265156	0.183175	1
1034	-0.00602565	1.74536	0.118725	1	-0.0398373	-0.568909	0.821435	0.47142	0.279922	0.205213	1
1035	-0.00611426	1.69985	0.133101	1	-0.635517	-0.520695	0.570083	0.558803	0.343206	0.241904	1
1036	-0.00629151	1.67624	0.117902	1	-0.192389	-0.567796	0.800371	0.413319	0.201148	0.155094	1
1037	-0.00638012	1.73696	0.115127	1	-0.78439	0.228709	0.576562	0.449766	0.248011	0.168921	1
1038	-0.00646874	1.61152	0.0610268	1	-0.25296	-0.168437	0.952702	0.430408	0.289654	0.20523	1
1039	-0.00655734	1.69106	0.116865	1	-0.548767	-0.100562	0.829905	0.441478	0.278762	0.209145	1
1040	-0.00664596	1.63145	0.105169	1	-0.100933	-0.928554	0.357212	0.426114	0.309501	0.226229	1
1041	-0.00664596	1.74008	0.114265	1	-0.755569	-0.215007	0.618779	0.441956	0.251901	0.173301	1
1042	-0.00673457	1.55268	0.0503583	1	-0.030029	0.143051	0.98926	0.416176	0.27046	0.182352	1
1043	-0.00673457	1.63036	0.0988769	1	-0.0808361	-0.994653	0.0642702	0.41879	0.278732	0.202233	1
1044	-0.00673457	1.64515	0.113694	1	-0.107663	0.148016	0.983107	0.468182	0.30355	0.222564	1
1045	-0.00673457	1.69885	0.125247	1	0.166089	-0.796349	-0.581586	0.20021	0.0975323	0.0740231	1
1046	-0.00673457	1.73111	0.118134	1	-0.73787	0.344778	0.580237	0.483261	0.290252	0.211081	1
1047	-0.00682312	1.62145	0.0616757	1	-0.262692	-0.250282	0.931854	0.424	0.271192	0.19715	1
1048	-0.00682312	1.63893	0.113246	1	-0.120162	-0.345799	0.930583	0.492363	0.326865	0.249271	1
1049	-0.00682312	1.71876	0.124345	1	-0.795892	0.241415	0.555225	0.457791	0.25158	0.178293	1
1050	-0.00682312	1.74965	0.121841	1	0.164687	-0.314272	0.934939	0.421661	0.246199	0.160048	1
1051	-0.00691174	1.63451	0.10994	1	-0.105807	-0.730011	0.675196	0.469322	0.318794	0.230992	1
1052	-0.00691174	1.69756	0.11707	1	-0.882612	0.270206	0.384689	0.334336	0.180249	0.134917	1
1053	-0.00691174	1.71108	0.128201	1	-0.808736	0.367163	0.459497	0.46659	0.263633	0.178896	1
1054	-0.00700035	1.62802	0.0647623	1	-0.282641	-0.657488	0.698444	0.441499	0.294603	0.209333	1
1055	-0.00700035	1.6807	0.119598	1	-0.241603	-0.0529744	0.968928	0.465964	0.302246	0.224573	1
1056	-0.00700035	1.72408	0.122036	1	-0.756115	0.28565	0.588808	0.508806	0.288541	0.232873	1
1057	-0.00708897	1.6737	0.11427	1	-0.14365	0.702211	0.697327	0.255179	0.0938323	0.0662182	1
1058	-0.00717759	1.68189	0.119212	1	-0.275509	0.338112	0.899875	0.465929	0.314724	0.220856	1
1059	-0.00735481	1.689	0.11643	1	-0.443019	0.135794	0.886168	0.433398	0.266866	0.18916	1
1060	-0.00744343	1.74353	0.116474	1	-0.335991	-0.698005	0.632376	0.452462	0.26958	0.19611	1
1061	-0.00753205	1.68518	0.11734	1	-0.346831	0.329543	0.878129	0.436284	0.280334	0.191193	1
1062	-0.00753205	1.6982	0.12655	1	-0.119719	-0.992793	-0.00547544	0.306637	0.167637	0.122886	1
1063	-0.00762066	1.63129	0.0701689	1	-0.230853	-0.940135	0.250704	0.425847	0.28979	0.209678	1
1064	-0.00770928	1.70204	0.132442	1	-0.797393	-0.210931	0.565396	0.551012	0.339577	0.238274	1
1065	-0.0077979	1.66908	0.115714	1	-0.212659	0.207465	0.954848	0.380611	0.201211	0.144114	1
1066	-0.00788651	1.69691	0.113787	1	-0.506599	0.190633	0.840843	0.290796	0.152164	0.110736	1
1067	-0.00806366	1.58321	0.0514669	1	-0.187947	-0.195312	0.962564	0.431942	0.288624	0.204185	1
1068	-0.00824089	1.67295	0.113647	1	-0.00547984	-0.997939	0.0639347	0.278381	0.10338	0.0868885	1
1069	-0.00824089	1.70612	0.115265	1	0.810091	-0.472164	0.347584	0.123022	0.0528049	0.0358158	1
1070	-0.00832951	1.66547	0.116001	1	-0.213931	-0.240584	0.946759	0.471752	0.288115	0.204566	1
1071	-0.00832951	1.7049	0.131431	1	-0.846294	0.0780975	0.52696	0.50182	0.306166	0.205965	1
1072	-0.00841813	1.69315	0.115443	1	-0.597818	0.0271582	0.801171	0.389844	0.22136	0.157804	1
1073	-0.00841813	1.7069	0.13049	1	-0.8319	0.325849	0.449182	0.465927	0.270636	0.17614	1
1074	-0.00850673	1.63155	0.0823278	1	-0.161856	-0.986411	-0.0282177	0.406801	0.282404	0.208379	1
1075	-0.00868406	1.73915	0.111186	1	-0.849308	-0.158844	0.503434	0.406804	0.241905	0.170804	1
1076	-0.00877267	1.7355	0.112282	1	-0.794565	0.344451	0.500019	0.439866	0.266685	0.178179	1
1077	-0.0089499	1.74252	0.114006	1	-0.53169	-0.685075	0.497974	0.430041	0.277581	0.194204	1
1078	-0.00903852	1.67474	0.110809	1	0.100993	0.963414	-0.248261	0.246663	0.0869407	0.0638542	1
1079	-0.00930425	1.69738	0.114145	1	0.438888	-0.0106861	0.898478	0.281369	0.146849	0.103819	1
1080	-0.00930425	1.7465	0.119825	1	-0.0477159	-0.709496	0.703093	0.396548	0.242311	0.165683	1
1081	-0.00939294	1.67609	0.117219	1	-0.21543	-0.571487	0.791829	0.391897	0.196495	0.157145	1
1082	-0.00939294	1.69932	0.127519	1	-0.673907	-0.607002	0.421186	0.490129	0.287573	0.190818	1
1083	-0.00957014	1.56337	0.0481593	1	-0.00292952	0.0556035	0.998449	0.437421	0.304072	0.223111	1
1084	-0.00974734	1.59225	0.0532486	1	-0.309314	-0.26769	0.912506	0.442163	0.293762	0.209678	1
1085	-0.00974734	1.67379	0.113601	1	-0.221041	0.708638	0.670055	0.257048	0.0986078	0.0733379	1
1086	-0.00974734	1.72912	0.115828	1	-0.719912	0.356904	0.59527	0.472356	0.290798	0.202257	1
1087	-0.00983594	1.72248	0.118901	1	-0.754992	0.215975	0.619146	0.468465	0.278505	0.20208	1
1088	-0.00992463	1.69778	0.121904	1	0.521439	-0.849172	-0.083719	0.226345	0.114542	0.0737275	1
1089	-0.00992463	1.70953	0.12344	1	-0.83804	0.323259	0.439537	0.422341	0.238563	0.152005	1
1090	-0.00992463	1.71682	0.120482	1	-0.822438	0.169921	0.542883	0.456142	0.257352	0.176286	1
1091	-0.0101018	1.6983	0.115343	1	0.830952	-0.261149	0.491244	0.240298	0.123085	0.0790909	1
1092	-0.0101903	1.69232	0.114107	1	-0.540949	-0.109699	0.833871	0.429275	0.253391	0.17636	1
1093	-0.010279	1.68017	0.118361	1	-0.372478	-0.0638915	0.925839	0.462839	0.289962	0.22612	1
1094	-0.0103676	1.68137	0.117972	1	-0.421522	0.304543	0.85415	0.472254	0.306468	0.23595	1
1095	-0.0103676	1.6942	0.114684	1	-0.110772	-0.355225	0.928194	0.379027	0.212648	0.151577	1
1096	-0.0103676	1.69865	0.117647	1	0.940237	-0.340113	-0.0166597	0.250616	0.129423	0.0831331	1
1097	-0.0104562	1.66934	0.114832	1	-0.350451	0.21583	0.911374	0.371072	0.193448	0.141195	1
1098	-0.0104562	1.70175	0.127497	1	-0.869346	-0.0780955	0.487994	0.439353	0.24874	0.15741	1
1099	-0.0104411	1.74189	0.110818	1	-0.671403	-0.622129	0.402708	0.435271	0.264598	0.183294	1
1100	-0.0104562	1.77288	0.118844	1	-0.0739511	0.149698	0.985962	0.495382	0.325444	0.222559	1
1101	-0.0106334	1.70507	0.126511	1	-0.858328	0.279773	0.430117	0.420942	0.236252	0.149028	1
1102	-0.0107221	1.7854	0.116036	1	-0.0753322	0.311329	0.947312	0.490916	0.321564	0.241904	1
1103	-0.010786	1.73864	0.106859	1	-0.855035	-0.0846416	0.511617	0.369848	0.218079	0.14017	1
1104	-0.0108107	1.74506	0.11733	1	-0.236126	-0.854392	0.462881	0.426306	0.274034	0.191336	1
1105	-0.0109878	1.66399	0.113652	1	-0.367503	-0.541775	0.755924	0.455675	0.287193	0.202728	1
1106	-0.0109878	1.66571	0.115119	1	-0.400519	-0.273042	0.874661	0.457672	0.28601	0.20209	1
1107	-0.0109878	1.68945	0.114114	1	-0.471896	0.21326	0.855473	0.442163	0.264225	0.182352	1
1108	-0.0110765	1.65939	0.111133	1	-0.221244	-0.361593	0.905705	0.441309	0.265093	0.183119	1
1109	-0.0110765	1.76204	0.119776	1	-0.0290614	0.202365	0.978879	0.478494	0.298962	0.209678	1
1110	-0.0111651	1.6967	0.117809	1	0.445751	-0.86137	0.243614	0.295131	0.156944	0.100681	1
1111	-0.0112536	1.7984	0.110258	1	-0.0876477	0.463118	0.881952	0.520494	0.373799	0.267036	1
1112	-0.0113387	1.73559	0.106981	1	-0.705105	0.466136	0.534363	0.342869	0.210623	0.13138	1
1113	-0.011431	1.6958	0.115959	1	0.377024	-0.702893	0.603154	0.315883	0.169891	0.109179	1
1114	-0.0115196	1.65578	0.110274	1	-0.203055	-0.0920519	0.974831	0.455675	0.275629	0.19245	1
1115	-0.0115196	1.67283	0.112581	1	0.0607151	-0.998155	8.31511e-05	0.265791	0.106116	0.0814935	1
1116	-0.0115196	1.68553	0.115244	1	-0.42221	0.341181	0.839842	0.433559	0.282224	0.205828	1
1117	-0.0116977	1.74105	0.107172	1	-0.730862	-0.499453	0.465174	0.348462	0.200407	0.119253	1
1118	-0.0119627	1.60277	0.0566472	1	-0.424015	-0.2794	0.861479	0.442163	0.291404	0.220542	1
1119	-0.0120349	1.74431	0.114411	1	-0.391731	-0.868519	0.303681	0.425286	0.268991	0.186636	1
1120	-0.01214	1.69869	0.122793	1	-0.5937	-0.689339	0.415129	0.414395	0.231708	0.14577	1
1121	-0.01214	1.73223	0.110261	1	-0.610611	0.551627	0.568209	0.470657	0.290005	0.203925	1
1122	-0.01214	1.75543	0.122397	1	0.0136053	0.219903	0.975427	0.481086	0.299039	0.211648	1
1123	-0.0123172	1.80968	0.103563	1	-0.117556	0.611959	0.782104	0.520795	0.36427	0.27181	1
1124	-0.0124058	1.674	0.11217	1	-0.324096	0.732917	0.598159	0.245075	0.0895736	0.0704344	1
1125	-0.0124943	1.67529	0.115792	1	-0.279674	-0.591016	0.756625	0.392257	0.196556	0.157482	1
1126	-0.012583	1.57322	0.0487573	1	-0.0683575	-0.0669695	0.995411	0.426213	0.275155	0.199822	1
1127	-0.012583	1.65071	0.110624	1	-0.325672	0.142317	0.934711	0.442163	0.275629	0.175721	1
1128	-0.0128488	1.70976	0.117525	1	-0.873489	0.295294	0.387063	0.423572	0.242758	0.16593	1
1129	-0.0129374	1.61239	0.0583149	1	-0.446653	-0.183978	0.875588	0.413715	0.285572	0.209678	1
1130	-0.0131146	1.64515	0.112114	1	-0.369638	0.116529	0.92184	0.470872	0.311872	0.232216	1
1131	-0.0131146	1.6696	0.113611	1	-0.502586	0.220068	0.836049	0.373429	0.182932	0.127376	1
1132	-0.0131146	1.7144	0.115901	1	-0.790198	0.000977646	0.61285	0.456125	0.270328	0.187751	1
1133	-0.0128129	1.73731	0.104193	1	-0.489956	0.05345	0.870107	0.371639	0.219581	0.131266	1
1134	-0.0130181	1.74386	0.110971	1	-0.511729	-0.822613	0.247872	0.377424	0.225446	0.150075	1
1135	-0.0132918	1.6935	0.112061	1	-0.57828	-0.241346	0.779323	0.405665	0.235478	0.159962	1
1136	-0.0133804	1.67465	0.108094	1	0.140141	0.946417	-0.290957	0.243661	0.0856415	0.0681486	1
1137	-0.0133804	1.69396	0.113034	1	-0.569553	-0.650685	0.502215	0.400463	0.229924	0.157945	1
1138	-0.013469	1.55435	0.0494034	1	0.1519	0.0664781	0.986158	0.415744	0.268326	0.183462	1
1139	-0.0135575	1.63248	0.103747	1	-0.296834	-0.898981	0.322061	0.476209	0.30886	0.208959	1
1140	-0.0135575	1.82064	0.0928542	1	-0.142307	0.764316	0.628944	0.539346	0.363837	0.275327	1
1141	-0.0136462	1.56292	0.0494613	1	0.104613	0.0881274	0.990601	0.427373	0.285338	0.206546	1
1142	-0.0136462	1.63523	0.108676	1	-0.365734	-0.689712	0.624929	0.45505	0.310058	0.229996	1
1143	-0.0136462	1.63956	0.111497	1	-0.402604	-0.302475	0.863955	0.493302	0.32741	0.250019	1
1144	-0.0136462	1.70116	0.122114	1	-0.877193	-0.138731	0.459659	0.442059	0.24929	0.156434	1
1145	-0.0136462	1.70537	0.121199	1	-0.878901	0.2609	0.399331	0.43035	0.250251	0.166502	1
1146	-0.0137348	1.62266	0.0592558	1	-0.433192	-0.239993	0.868763	0.427667	0.277526	0.20142	1
1147	-0.0137348	1.679	0.116595	1	-0.462098	-0.115981	0.879212	0.478494	0.310791	0.241904	1
1148	-0.0138234	1.63133	0.0975268	1	-0.20504	-0.977371	0.0519993	0.402653	0.25353	0.182352	1
1149	-0.0138234	1.72725	0.113101	1	-0.642043	0.351527	0.68133	0.468815	0.275253	0.192581	1
1150	-0.013912	1.66623	0.113492	1	-0.548364	-0.224003	0.80568	0.454804	0.286322	0.202395	1
1151	-0.0130557	1.73955	0.104294	1	-0.324757	-0.247118	0.912943	0.350505	0.201969	0.120409	1
1152	-0.013912	1.7506	0.122879	1	-0.0592161	-0.2136	0.975125	0.350532	0.221045	0.152576	1
1153	-0.0140007	1.68031	0.116295	1	-0.514872	0.20301	0.832882	0.478494	0.310791	0.241904	1
1154	-0.0140007	1.72034	0.114856	1	-0.700136	0.121535	0.703591	0.478494	0.29499	0.209678	1
1155	-0.0140892	1.62959	0.0618556	1	-0.443921	-0.593883	0.670997	0.433327	0.284722	0.205086	1
1156	-0.0138271	1.74327	0.107578	1	-0.628215	-0.716053	0.304325	0.306102	0.144536	0.0874256	1
1157	-0.0143553	1.69737	0.117397	1	-0.489123	-0.739476	0.46253	0.401307	0.225868	0.150694	1
1158	-0.0145325	1.7102	0.112852	1	-0.778214	-0.11967	0.616491	0.417795	0.239788	0.164353	1
1159	-0.0147096	1.67406	0.110516	1	-0.399647	0.752701	0.523186	0.243358	0.0882252	0.0695289	1
1160	-0.0149755	1.58335	0.049625	1	-0.251572	-0.114186	0.961079	0.442163	0.28713	0.211357	1
1161	-0.0149735	1.63308	0.0672958	1	-0.361543	-0.901506	0.237851	0.417815	0.279466	0.203845	1
1162	-0.0149755	1.69047	0.111929	1	-0.412466	0.212699	0.885794	0.442163	0.270576	0.182352	1
1163	-0.0149755	1.74795	0.120886	1	-0.189155	-0.69984	0.6888	0.274487	0.186033	0.134937	1
1164	-0.0151528	1.67233	0.110535	1	0.126817	-0.989058	-0.0753834	0.269528	0.10915	0.0835129	1
1165	-0.0141997	1.73848	0.104427	1	0.0222561	-0.117921	0.992773	0.34145	0.1944	0.115847	1
1166	-0.0155073	1.67508	0.107848	1	0.405525	-0.616254	-0.675115	0.27441	0.0992055	0.0811403	1
1167	-0.0155073	1.83028	0.0785629	1	-0.178019	0.885931	0.428293	0.54247	0.37966	0.27181	1
1168	-0.0155958	1.67014	0.111682	1	-0.603172	0.220494	0.766528	0.359311	0.168638	0.120114	1
1169	-0.0155958	1.70709	0.112579	1	-0.909577	0.201477	0.363423	0.404135	0.225197	0.154392	1
1170	-0.0149715	1.73627	0.10346	1	-0.275735	0.253656	0.927162	0.350523	0.202316	0.129738	1
1171	-0.0156844	1.70812	0.111107	1	-0.71898	-0.0502735	0.69321	0.392978	0.215769	0.146331	1
1172	-0.0157729	1.67451	0.113753	1	-0.357199	-0.622232	0.696589	0.386401	0.19146	0.153552	1
1173	-0.0158616	1.69989	0.116562	1	-0.922876	-0.201166	0.328379	0.442163	0.264225	0.182352	1
1174	-0.0158395	1.7466	0.118021	1	-0.283769	-0.88882	0.359824	0.417309	0.272794	0.189936	1
1175	-0.0159502	1.66377	0.110197	1	-0.611291	-0.293288	0.735055	0.475513	0.307317	0.209379	1
1176	-0.0159502	1.70407	0.115612	1	-0.941136	0.20954	0.265246	0.44044	0.262194	0.18107	1
1177	-0.014429	1.74191	0.104424	1	-0.431375	-0.413752	0.801701	0.270319	0.139194	0.0782541	1
1178	-0.0161274	1.68546	0.113115	1	-0.475246	0.277614	0.834909	0.43085	0.278286	0.200881	1
1179	-0.0161274	1.68528	-0.0520214	1	-0.239072	-0.0254874	-0.970667	0.478494	0.317057	0.209678	1
1180	-0.0162161	1.69593	0.110492	1	-0.670402	-0.119321	0.732341	0.322524	0.167993	0.115044	1
1181	-0.0162161	1.69651	0.111874	1	-0.870935	-0.425628	0.245587	0.311536	0.160104	0.112968	1
1182	-0.0163046	1.66684	0.111465	1	-0.653587	-0.166565	0.738295	0.448904	0.28043	0.200142	1
1183	-0.0162473	1.73379	0.105627	1	-0.359242	0.671407	0.648196	0.342759	0.210993	0.135814	1
1184	-0.0163933	1.65908	0.109103	1	-0.480155	-0.117576	0.869268	0.447051	0.295348	0.210014	1
1185	-0.0144365	1.74032	0.10458	1	-0.348875	-0.0177419	0.937001	0.248647	0.124612	0.0747589	1
1186	-0.0166591	1.67765	0.114603	1	-0.545926	-0.207424	0.811751	0.458708	0.284325	0.221986	1
1187	-0.0165382	1.74622	0.114659	1	-0.345087	-0.920164	0.184967	0.370612	0.232419	0.154644	1
1188	-0.0167477	1.70417	0.111349	1	-0.956264	0.180929	0.229836	0.38391	0.205418	0.139831	1
1189	-0.0168362	1.73068	0.108376	1	-0.436668	0.542683	0.717507	0.375308	0.231131	0.153291	1
1190	-0.0169249	1.70311	-0.0539662	1	-0.225094	-0.250269	-0.941647	0.478494	0.324993	0.222162	1
1191	-0.0170135	1.67396	0.108707	1	-0.431761	0.754248	0.494663	0.249991	0.0884621	0.0701528	1
1192	-0.0171022	1.71148	0.111667	1	-0.525162	-0.165362	0.834782	0.399224	0.224146	0.150835	1
1193	-0.0171907	1.69341	0.110492	1	-0.397952	0.143242	0.906154	0.408341	0.239859	0.157448	1
1194	-0.0171907	1.70498	0.109685	1	-0.628334	-0.0091969	0.777889	0.374742	0.195231	0.133309	1
1195	-0.0171907	1.83556	0.0621027	1	-0.217052	0.94062	0.261004	0.549532	0.38984	0.264531	1
1196	-0.0172595	1.63365	0.0777151	1	-0.2984	-0.953451	-0.0434498	0.375311	0.251182	0.183644	1
1197	-0.0172794	1.67896	0.114222	1	-0.616402	0.0627626	0.784926	0.478494	0.316199	0.241904	1
1198	-0.0172794	1.70046	0.111186	1	-0.977966	-0.076174	0.19437	0.348799	0.190207	0.132448	1
1199	-0.0154528	1.73877	0.104314	1	-0.316805	0.0638833	0.946337	0.336388	0.172371	0.110128	1
1200	-0.0170242	1.74587	0.111152	1	-0.402137	-0.907869	0.11857	0.344477	0.197968	0.128379	1
1201	-0.0174567	1.70022	0.109457	1	-0.684092	-0.0117507	0.729301	0.343207	0.185699	0.129506	1
1202	-0.0176339	1.57235	0.0490021	1	-0.0841154	0.0552764	0.994922	0.413793	0.258782	0.187714	1
1203	-0.0148637	1.74031	0.103307	1	-0.962718	-0.0675925	0.261927	0.242212	0.111892	0.0760442	1
1204	-0.017256	1.74592	0.107917	1	-0.498296	-0.865095	0.0575516	0.326865	0.169173	0.108476	1
1205	-0.0177225	1.71824	0.111811	1	-0.564144	0.0487733	0.824235	0.433917	0.260232	0.178826	1
1206	-0.0168446	1.74544	0.105163	1	-0.595215	-0.71847	0.359888	0.306998	0.155667	0.0968846	1
1207	-0.0178111	1.59415	0.0501745	1	-0.423075	-0.162157	0.891467	0.442163	0.277513	0.195497	1
1208	-0.0178111	1.66091	-0.0531559	1	-0.222746	0.219369	-0.949875	0.478735	0.295195	0.209678	1
1209	-0.0178111	1.81538	-0.0454578	1	-0.131984	0.663964	-0.736025	0.477771	0.334338	0.230934	1
1210	-0.0178997	1.67054	0.109685	1	-0.643879	0.20893	0.736049	0.350967	0.163301	0.115709	1
1211	-0.0178997	1.72592	0.110334	1	-0.525918	0.298467	0.796447	0.469528	0.276357	0.193096	1
1212	-0.0179882	1.65522	0.107633	1	-0.495493	0.00409831	0.868602	0.42478	0.272023	0.184256	1
1213	-0.0180768	1.67438	0.104369	1	0.181566	0.876518	-0.445815	0.256374	0.0962056	0.0634393	1
1214	-0.0181655	1.67207	0.108724	1	0.147571	-0.981863	-0.119026	0.295351	0.122264	0.0885661	1
1215	-0.0175786	1.73516	0.10355	1	-0.169582	0.404281	0.898776	0.378945	0.18461	0.136722	1
1216	-0.0166433	1.74426	0.104167	1	-0.246005	-0.3235	0.91369	0.257734	0.132068	0.0803472	1
1217	-0.0157785	1.73921	0.103142	1	-0.511239	0.701873	0.495993	0.28748	0.138321	0.0919574	1
1218	-0.0150288	1.74025	0.102035	1	-0.945657	0.0969475	0.310378	0.18408	0.0788568	0.0559457	1
1219	-0.0153886	1.73968	0.101985	1	-0.168843	0.928185	0.331608	0.206328	0.0915656	0.0637122	1
1220	-0.0186085	1.64186	-0.0603677	1	-0.162719	0.392215	-0.905367	0.469441	0.302877	0.220305	1
1221	-0.0186085	1.66764	0.109282	1	-0.700425	-0.113365	0.704665	0.470502	0.29147	0.206729	1
1222	-0.0186972	1.83932	0.0436772	1	-0.235071	0.956825	0.170962	0.541747	0.382902	0.258439	1
1223	-0.0187858	1.69636	0.109299	1	-0.369949	0.0967613	0.923999	0.360622	0.199537	0.135088	1
1224	-0.0188744	1.65044	0.107229	1	-0.543354	0.0850818	0.835181	0.442163	0.290567	0.196887	1
1225	-0.0188744	1.67366	0.110984	1	-0.405799	-0.651323	0.641175	0.382796	0.182902	0.126778	1
1226	-0.0169596	1.74309	0.104419	1	-0.305012	-0.371437	0.876928	0.248326	0.118809	0.0771931	1
1227	-0.018963	1.56164	0.0507508	1	-0.0542794	0.131805	0.989789	0.429138	0.290143	0.209678	1
1228	-0.0190516	1.69028	0.110087	1	-0.455002	0.174416	0.873242	0.462028	0.294796	0.197225	1
1229	-0.0193175	1.67471	0.10594	1	0.609981	-0.564637	-0.555975	0.289808	0.109246	0.0775172	1
1230	-0.019406	1.62849	-0.0657972	1	-0.126969	0.421289	-0.897995	0.442163	0.29499	0.209678	1
1231	-0.019406	1.67379	0.106854	1	-0.505599	0.75206	0.422819	0.251998	0.0983101	0.0613704	1
1232	-0.0178713	1.73707	0.103424	1	-0.0174175	0.100727	0.994762	0.339365	0.163389	0.111144	1
1233	-0.0196719	1.70043	0.108834	1	-0.286515	-0.0189645	0.957888	0.385096	0.217886	0.131676	1
1234	-0.0170656	1.74264	0.103336	1	-0.631112	-0.715768	0.298954	0.222631	0.101304	0.0696328	1
